SNWMSS_ID,LCTN_ID,LCTN_NM,ELEVATION,STATUS,LATITUDE,LONGITUDE,SHAPE,OBJECTID,X_COORDINATE,Y_COORDINATE
222,2F15,Esperon Creek Lower,1340,Inactive,50.07806,-119.67187,,1147446,1452320.9152000009,582697.0963999964
223,2F16,Carrs Landing (Lower),690,Inactive,50.175884,-119.343917,,1147447,1474673.1495999997,595681.3239999972
224,2F17,Carrs Landing (Upper),980,Inactive,50.181972,-119.390258,,1147448,1471314.8727,596046.0499000009
225,2F18,Brenda Mine,1460,Inactive,49.864166,-119.98278,,1147449,1432172.3927999989,557054.8257000009
226,2F19,Oyama Lake,1340,Active,50.115186,-119.280863,,1147450,1479796.3099000023,589383.8158999868
227,2F20,Vaseux Creek,1400,Active,49.28231,-119.32803,,1147451,1485152.7619000005,496875.3156999927
228,2F21,Bouleau Lake,1400,Inactive,50.28267,-119.6483,,1147452,1451961.4018999995,605520.418600006
229,2F22,Pearson Creek,940,Inactive,49.940994,-119.185958,,1147453,1488414.5819000006,570745.3207
230,2F23,MacDonald Lake,1740,Active,49.88494,-120.0293,,1147454,1428644.5409000004,559073.9900000002
231,2F24,Islaht Lake,1480,Active,49.99008,-119.8099,,1147455,1443334.9112999998,572075.7631000029
232,2F25,Postill Lake Upper,1540,Inactive,49.96219,-119.2051,,1147456,1486820.8188,572960.0448000012
233,2G01,Copper Mountain,1310,Inactive,49.404491,-120.598701,,1147457,1391921.4364000002,502532.24469999876
234,2G01A,Sunday Summit,1310,Inactive,49.335765,-120.582015,,1147458,1393713.7799999996,495009.615000003
235,2G02,Nickel Plate,1890,Inactive,49.377628,-120.036491,,1147459,1432874.9372000003,502831.63559999876
